id,name,type,modern_location,summary,related_topics,related_people,related_episodes
place_africa,África,region,África,Continente clave para el origen y expansión inicial del género Homo y de Homo sapiens.,topic_evolucion_humana; topic_salida_africa; topic_homo_sapiens,person_homo_sapiens; person_homo_erectus,ep_historia_en_podcast_64_paleolitico
place_africa_oriental,África oriental,region,"Etiopía, Kenia, Tanzania y áreas próximas",Región fundamental para el estudio de los primeros homininos y del género Homo.,topic_australopithecus; topic_homo_habilis; topic_homo_erectus,person_lucy; person_homo_habilis; person_homo_erectus,
place_hadar,Hadar,site,Etiopía,Yacimiento asociado al hallazgo de Lucy y al estudio de Australopithecus afarensis.,topic_australopithecus; topic_bipedismo,person_lucy; person_australopithecus_afarensis,
place_laetoli,Laetoli,site,Tanzania,Yacimiento célebre por huellas fósiles que evidencian bipedismo temprano.,topic_bipedismo; topic_australopithecus,person_australopithecus_afarensis,
place_olduvai,Garganta de Olduvai,site,Tanzania,Uno de los yacimientos más importantes para estudiar herramientas tempranas y primeros Homo.,topic_homo_habilis; topic_industria_litica,person_homo_habilis,
place_lago_turkana,Lago Turkana,site,Kenia,Región clave para el estudio de Homo erectus/ergaster y fósiles como el Niño de Turkana.,topic_homo_erectus; topic_evolucion_humana,person_nino_turkana,
place_dmanisi,Dmanisi,site,Georgia,Yacimiento clave para comprender las primeras salidas de homininos fuera de África.,topic_salida_africa; topic_homo_erectus,person_homo_erectus,
place_europa,Europa,region,Europa,"Región fundamental para el Paleolítico europeo, los neandertales, el arte rupestre y la expansión de Homo sapiens.",topic_neandertales; topic_paleolitico_superior; topic_arte_rupestre,person_homo_neanderthalensis; person_cromagnon,ep_planeta_muy_neandertales; ep_khulmani_paleolitico_superior
place_atapuerca,Atapuerca,site,"Burgos, España",Conjunto de yacimientos clave para el estudio de la evolución humana en Europa.,topic_atapuerca; topic_evolucion_humana; topic_homo_antecessor,person_homo_antecessor; person_eudald_carbonell; person_juan_luis_arsuaga; person_jose_bermudez_castro,ep_atapuerca_1_zarpazo; ep_atapuerca_2_craneos; ep_atapuerca_4_piezas_puzle; ep_lhe_prehistoria_peninsula
place_altamira,Altamira,cave,"Cantabria, España",Cueva paleolítica célebre por su arte rupestre y sus representaciones de bisontes.,topic_arte_rupestre; topic_paleolitico_superior,person_homo_sapiens,ep_lhe_prehistoria_peninsula; ep_otro_podcast_arte_paleolitico
